PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt1,38.85,0.1,20.84,0,28.35,0.51,5.48,6.07,Garnet
Sample1_pt2,38.56,0.13,21.07,0,28.16,0.5,5.45,6.12,Garnet
Sample1_pt3,38.82,0.09,20.7,0.06,28.12,0.55,5.44,5.91,Garnet
Sample1_pt4,38.79,0.05,20.72,0.05,27.63,0.55,5.59,6.05,Garnet
Sample1_pt5,38.54,0.06,20.85,0,27.59,0.57,5.42,6.25,Garnet
Sample1_pt6,38.7,0.03,20.67,0,28.21,0.49,5.43,5.98,Garnet
Sample1_pt7,38.84,0.1,20.85,0.03,27.6,0.47,5.44,6.06,Garnet
Sample1_pt8,39.09,0.07,20.88,0.02,27.84,0.52,5.55,6.17,Garnet
Sample1_pt9,38.86,0.04,20.86,0.01,27.93,0.53,5.53,6.02,Garnet
Sample1_pt10,38.62,0.12,21.1,0,27.8,0.53,5.62,6,Garnet
Sample1_pt11,38.66,0.04,20.86,0.05,27.71,0.5,5.63,6.01,Garnet
Sample1_pt12,38.92,0,20.77,0.05,28.15,0.51,5.43,6.17,Garnet
Sample1_pt13,38.74,0.11,20.86,0,27.85,0.51,5.69,6.18,Garnet
Sample1_pt14,38.5,0.03,20.65,0.02,27.62,0.45,5.49,6.29,Garnet
Sample1_pt15,38.84,0.06,20.92,0.02,27.5,0.59,5.7,6.18,Garnet
Sample1_pt16,38.54,0.04,20.76,0.01,27.28,0.53,5.64,6.24,Garnet
Sample1_pt17,38.77,0.11,20.77,0.03,27.7,0.56,5.59,6.16,Garnet
Sample1_pt18,38.75,0.08,20.7,0.01,27.9,0.53,5.44,6.31,Garnet
Sample1_pt19,38.8,0.02,21,0.01,27.66,0.49,5.67,6.19,Garnet
Sample1_pt20,38.54,0.04,21.04,0.01,27.61,0.52,5.65,6.18,Garnet
Sample1_pt21,38.87,0.14,20.93,0.05,27.74,0.54,5.54,5.98,Garnet
Sample1_pt22,38.56,0.05,21.19,0,27.76,0.59,5.63,6.06,Garnet
Sample1_pt23,38.63,0.06,20.92,0.04,27.23,0.55,5.88,6.23,Garnet
Sample1_pt24,38.91,0.04,21.17,0.02,27.96,0.59,5.48,6.27,Garnet
Sample1_pt25,38.62,0.1,20.77,0.02,27.6,0.58,5.62,6.08,Garnet
Sample1_pt26,38.45,0.1,20.78,0.01,27.55,0.55,5.6,6.23,Garnet
Sample1_pt27,38.86,0.05,20.44,0,27.78,0.59,5.68,6.18,Garnet
Sample1_pt28,38.78,0.03,20.83,0,27.76,0.54,5.64,6.12,Garnet
Sample1_pt29,38.65,0.04,21.07,0.03,27.48,0.59,5.52,6.15,Garnet
Sample1_pt30,38.12,0.09,21.08,0.01,27.22,0.58,5.54,6.23,Garnet
Sample1_pt31,38.57,0.03,21.26,0.05,27.69,0.5,5.57,6.26,Garnet
Sample1_pt32,38.07,0.02,21.35,0,26.95,0.54,5.73,6.11,Garnet
Sample1_pt33,38.34,0.14,21.02,0.05,27.58,0.52,5.66,6.07,Garnet
Sample1_pt34,38.13,0.01,21.65,0,26.85,0.51,5.87,6.07,Garnet
Sample1_pt35,38.14,0.04,21.32,0.03,26.85,0.55,5.7,6.3,Garnet
Sample1_pt36,38.06,0.04,21.44,0.03,27.12,0.55,5.6,6.16,Garnet
Sample1_pt37,38.02,0.06,21.23,0.01,26.82,0.51,5.8,6.12,Garnet
Sample1_pt38,38.21,0.1,21.38,0.04,27.44,0.55,5.63,6.05,Garnet
Sample1_pt39,37.93,0.08,21.2,0.02,26.74,0.57,5.71,6.19,Garnet
Sample1_pt40,38.55,0.04,21.31,0.03,27.85,0.53,5.57,6.02,Garnet
Sample1_pt41,38.18,0.07,21.04,0.05,27.21,0.55,5.65,6.15,Garnet
Sample1_pt42,38.26,0.08,21.15,0.04,27.43,0.48,5.58,6.21,Garnet
Sample1_pt43,38.65,0,21.15,0,27.64,0.54,5.57,6.04,Garnet
Sample1_pt44,38.33,0,21.08,0.02,27.54,0.55,5.69,5.93,Garnet
Sample1_pt45,37.93,0.01,21.32,0,26.62,0.55,5.76,6.18,Garnet
Sample1_pt46,38.72,0.03,21.12,0.04,27.93,0.5,5.68,6.06,Garnet
Sample1_pt47,38.72,0.06,21.51,0.06,27.89,0.45,5.77,6.03,Garnet
Sample1_pt48,38.45,0.03,21.59,0.02,27.42,0.56,5.57,6.31,Garnet
Sample1_pt49,38.84,0.1,21.03,0.03,27.91,0.46,5.78,6.12,Garnet
Sample1_pt50,38.94,0.05,21.36,0.07,27.67,0.58,5.89,6.13,Garnet
Sample1_pt51,38.75,0.04,21.32,0,27.78,0.56,5.62,6.19,Garnet
Sample1_pt52,38.65,0.04,21.35,0,27.99,0.58,5.48,6.17,Garnet
Sample1_pt53,38.31,0.09,21.46,0.01,27.38,0.56,5.63,6.17,Garnet
Sample1_pt54,38.64,0.05,21.31,0.05,27.75,0.55,5.79,5.95,Garnet
Sample1_pt55,38.68,0.05,21.23,0,27.48,0.6,5.91,5.99,Garnet
Sample1_pt56,38.69,0.1,21.53,0.02,27.63,0.59,5.74,6.16,Garnet
Sample1_pt57,38.53,0.04,21.57,0.07,27.62,0.56,5.73,6.02,Garnet
Sample1_pt58,38.41,0.01,21.47,0.02,27.43,0.53,5.56,6.29,Garnet
Sample1_pt59,38.5,0.08,21.19,0.04,27.56,0.51,5.66,6.2,Garnet
Sample1_pt60,38.38,0.06,21.37,0,27.16,0.54,5.75,6.24,Garnet
Sample1_pt61,38.18,0.07,21.22,0.02,27.14,0.5,5.74,6.12,Garnet
Sample1_pt62,38.63,0.14,21.51,0,27.95,0.54,5.76,5.9,Garnet
Sample1_pt63,38.51,0.09,21.24,0.04,27.37,0.52,5.8,6.16,Garnet
Sample1_pt64,38.54,0.05,21.16,0.02,27.32,0.51,5.73,6.31,Garnet
Sample1_pt65,38.57,0.05,21.21,0.02,27.4,0.54,5.73,6.25,Garnet
Sample1_pt66,38.6,0.11,20.99,0,27.85,0.48,5.61,6.18,Garnet
Sample1_pt67,38.35,0.09,21.19,0.03,27.5,0.57,5.73,5.97,Garnet
Sample1_pt68,38.43,0.07,21.29,0,27.39,0.61,5.66,6.18,Garnet
Sample1_pt69,38.48,0.06,21.08,0.02,27.27,0.54,5.73,6.27,Garnet
Sample1_pt70,38.45,0.1,21.29,0.07,27.5,0.55,5.69,6.14,Garnet
Sample1_pt71,38.36,0.09,21.35,0.04,27.07,0.59,5.78,6.23,Garnet
Sample1_pt72,38.22,0.06,21.29,0,27.08,0.52,5.81,6.08,Garnet
Sample1_pt73,38.2,0.08,21.42,0.04,27.3,0.53,5.81,5.9,Garnet
Sample1_pt74,38.42,0.05,21.24,0.02,27.65,0.51,5.62,5.94,Garnet
Sample1_pt75,38.19,0.05,21.14,0,27.31,0.58,5.74,5.92,Garnet
Sample1_pt76,38.11,0.1,20.92,0.04,27.23,0.55,5.75,5.95,Garnet
Sample1_pt77,38.51,0.12,21.29,0.01,27.91,0.55,5.61,6,Garnet
Sample1_pt78,38.44,0.1,21.16,0,27.51,0.53,5.68,6.15,Garnet
Sample1_pt79,38.04,0.06,21.22,0,27.21,0.54,5.63,6.05,Garnet
Sample1_pt80,38.24,0.06,21.41,0.01,27.07,0.57,5.79,6.1,Garnet
Sample1_pt81,38.16,0.07,21.25,0.09,27.12,0.59,5.75,6.03,Garnet
Sample1_pt82,38.49,0.11,21.2,0,27.55,0.6,5.59,5.99,Garnet
Sample1_pt83,38.26,0.06,21.31,0,27.36,0.49,5.75,6.01,Garnet
Sample1_pt84,38.07,0.05,21.08,0,26.93,0.52,5.71,6.19,Garnet
Sample1_pt85,37.93,0.11,21.33,0,27.14,0.56,5.61,6.05,Garnet
Sample1_pt86,38.25,0.11,21.12,0.05,27.39,0.52,5.73,5.9,Garnet
Sample1_pt87,38.23,0.07,21.13,0,27.1,0.44,5.78,6.19,Garnet
Sample1_pt88,37.87,0.09,21.13,0.03,27.16,0.51,5.59,6.03,Garnet
Sample1_pt89,38.13,0.02,21.34,0,26.88,0.56,5.7,6.25,Garnet
Sample1_pt90,37.9,0.04,20.95,0.01,27.22,0.53,5.59,5.96,Garnet
Sample1_pt91,38.15,0.1,20.76,0,27.42,0.57,5.53,6.13,Garnet
Sample1_pt92,37.94,0.05,21.26,0.01,27.16,0.55,5.62,5.99,Garnet
Sample1_pt93,37.94,0.02,20.91,0.01,27.01,0.55,5.59,6.13,Garnet
Sample1_pt94,38.28,0.06,21.22,0.09,27.19,0.53,5.73,6.16,Garnet
Sample1_pt95,37.93,0.06,21.06,0.02,27.08,0.49,5.64,6.07,Garnet
Sample1_pt96,37.98,0.06,20.96,0.01,27.16,0.55,5.62,6.04,Garnet
Sample1_pt97,38.47,0.12,21.04,0,27.87,0.54,5.6,6.02,Garnet
Sample1_pt98,37.82,0.15,21.17,0.05,27.67,0.52,5.46,5.8,Garnet
Sample1_pt99,37.78,0.05,21.02,0,26.86,0.48,5.6,6.16,Garnet
Sample1_pt100,38.3,0.12,21.03,0.04,27.51,0.51,5.64,6.05,Garnet
Sample1_pt101,37.95,0.07,21.19,0.06,27.08,0.53,5.66,6.04,Garnet
Sample1_pt102,37.88,0.08,20.82,0.04,27.14,0.5,5.57,6.08,Garnet
Sample1_pt103,38.26,0.07,21.17,0,27.48,0.52,5.54,6.02,Garnet
Sample1_pt104,37.82,0.06,21.21,0,26.72,0.57,5.64,6.19,Garnet
Sample1_pt105,37.67,0.06,20.97,0,26.89,0.57,5.61,5.96,Garnet
Sample1_pt106,37.96,0.1,21.22,0,27.48,0.52,5.62,5.82,Garnet
Sample1_pt107,38,0.08,21.02,0.01,27.35,0.47,5.58,6.04,Garnet
Sample1_pt108,37.9,0.07,21.26,0.01,27.16,0.48,5.54,6.14,Garnet
Sample1_pt109,38.16,0.1,21.15,0.02,27.42,0.46,5.51,6.02,Garnet
Sample1_pt110,38.24,0.13,20.95,0.01,27.58,0.56,5.53,6.12,Garnet
Sample1_pt111,38.24,0.08,21.14,0,27.83,0.42,5.54,5.89,Garnet
Sample1_pt112,37.86,0.08,20.85,0.03,27.18,0.55,5.61,5.94,Garnet
Sample1_pt113,37.71,0.02,21.02,0.01,27.24,0.56,5.48,5.88,Garnet
Sample1_pt114,37.62,0.09,20.97,0,26.96,0.51,5.54,6.02,Garnet
Sample1_pt115,37.68,0.07,20.98,0.03,27.55,0.62,5.38,5.74,Garnet
Sample1_pt116,37.8,0.01,21.04,0.04,27.44,0.58,5.42,5.87,Garnet
Sample1_pt117,37.9,0.09,20.97,0.06,27.77,0.47,5.36,5.83,Garnet
Sample1_pt118,37.99,0.07,21.11,0.02,27.85,0.49,5.34,5.95,Garnet
Sample1_pt119,37.91,0.03,21.3,0.02,27.67,0.54,5.35,5.94,Garnet
Sample1_pt120,37.09,0.12,20.28,0.13,29.31,0.63,3.96,6.43,Garnet
Sample1_pt121,38.02,0.15,21.1,0.03,29.6,0.71,4.12,6.49,Garnet
Sample1_pt122,38.18,0.07,21.16,0.02,30.08,0.7,4.05,6.44,Garnet
Sample1_pt123,37.9,0.19,20.96,0.04,29.84,0.69,4.05,6.31,Garnet
Sample1_pt124,37.67,0.17,21.13,0,29.64,0.65,4.17,6.4,Garnet
Sample1_pt125,37.42,0.16,21.27,0,29.62,0.73,4.21,6.44,Garnet
Sample1_pt126,37.65,0.19,20.79,0,29.6,0.74,4.06,6.5,Garnet
Sample1_pt127,37.96,0.18,20.94,0,29.78,0.75,4.17,6.3,Garnet
Sample1_pt128,37.69,0.15,20.99,0,29.75,0.76,4.03,6.26,Garnet
Sample1_pt129,37.59,0.14,20.75,0.02,29.8,0.67,4.04,6.34,Garnet
Sample1_pt130,37.48,0.15,21.05,0,29.58,0.68,4.09,6.18,Garnet
Sample1_pt131,37.32,0.16,20.84,0.02,29.3,0.69,4.08,6.24,Garnet
Sample1_pt132,37.42,0.2,21.28,0.06,29.63,0.72,4.18,6.21,Garnet
Sample1_pt133,37.83,0.18,21.31,0.03,30.01,0.68,4.21,6.37,Garnet
Sample1_pt134,38.3,0.11,20.89,0,29.77,0.65,4.07,6.35,Garnet
Sample1_pt135,37.82,0.2,20.79,0.04,29.35,0.69,4.11,6.29,Garnet
Sample1_pt136,37.7,0.11,20.97,0,30.05,0.72,4.13,6.36,Garnet
Sample1_pt137,37.37,0.12,20.97,0.02,29.79,0.65,3.99,6.15,Garnet
Sample1_pt138,37.6,0.1,21.21,0.04,30.02,0.78,4.02,6.24,Garnet
Sample1_pt139,37.47,0.13,20.84,0.07,29.53,0.79,4.11,6.3,Garnet
Sample1_pt140,37.69,0.18,20.92,0,29.93,0.78,4.05,6.32,Garnet
Sample1_pt141,37.53,0.14,21.01,0.01,29.54,0.65,4.1,6.07,Garnet
Sample1_pt142,37.77,0.15,20.57,0.01,29.72,0.72,4.05,6.26,Garnet
Sample1_pt143,38,0.14,21.29,0.01,29.47,0.68,4.17,6.35,Garnet
Sample1_pt144,37.77,0.07,21.17,0.07,29.65,0.72,4.04,6.33,Garnet
Sample1_pt145,37.38,0.15,20.79,0.03,29.61,0.67,4,6.37,Garnet
Sample1_pt146,37.34,0.08,20.9,0.01,29.82,0.73,4.1,6.32,Garnet
Sample1_pt147,37.67,0.09,21.23,0,29.62,0.72,4.07,6.28,Garnet
Sample1_pt148,36.96,0.12,20.78,0.07,29.59,0.69,4.03,6.17,Garnet
Sample1_pt149,37.76,0.07,20.86,0.07,29.82,0.69,4.18,6.34,Garnet
Sample1_pt150,37.88,0.07,21,0.03,29.31,0.68,4.13,6.24,Garnet
Sample1_pt151,37.22,0.14,20.86,0.05,29.63,0.67,4.06,6.28,Garnet
Sample1_pt152,37.24,0.04,21.02,0.01,29.64,0.69,3.95,6.32,Garnet
Sample1_pt153,37.26,0.07,21.03,0,29.32,0.68,3.92,6.38,Garnet
Sample1_pt154,37.43,0.02,20.99,0,29.33,0.73,4.07,6.24,Garnet
Sample1_pt155,40.68,0.06,21.69,0.07,29.07,0.7,4.11,6.13,Garnet
Sample1_pt156,37.31,0.03,21.1,0,29.41,0.68,4.17,6.19,Garnet
Sample1_pt157,36.87,0.07,20.49,0.02,29.56,0.73,4.12,6.22,Garnet
Sample1_pt158,37.39,0,20.97,0.04,29.14,0.81,4.19,6.39,Garnet
Sample1_pt159,39.04,0.05,22.26,0.25,21.84,0.52,9.99,5.48,Garnet
Sample1_pt160,38.51,0.05,21.92,0.24,21.33,0.66,9.68,5.48,Garnet
Sample1_pt161,39.1,0.04,22.24,0.23,21.56,0.62,10.03,5.63,Garnet
Sample1_pt162,38.75,0.05,22.15,0.24,21.36,0.55,10.1,5.64,Garnet
Sample1_pt163,38.99,0.07,22.02,0.25,21.09,0.59,9.95,5.6,Garnet
Sample1_pt164,39.21,0.07,22.04,0.25,21.07,0.69,9.95,5.65,Garnet
Sample1_pt165,39.28,0.04,21.84,0.26,21.24,0.57,10.04,5.53,Garnet
Sample1_pt166,38.9,0,22.47,0.18,21.03,0.52,10.14,5.77,Garnet
Sample1_pt167,38.97,0.05,22.28,0.22,21.38,0.55,10.14,5.54,Garnet
Sample1_pt168,39.07,0.05,22.02,0.2,21.41,0.54,10.02,5.71,Garnet
Sample1_pt169,39.05,0.02,22.16,0.22,21.26,0.51,10.19,5.58,Garnet
Sample1_pt170,38.72,0.1,22.33,0.15,20.77,0.53,9.86,5.56,Garnet
Sample1_pt171,39.39,0,22.15,0.17,21.25,0.62,10.33,5.73,Garnet
Sample1_pt172,38.77,0.07,21.84,0.21,21.25,0.6,10.1,5.79,Garnet
Sample1_pt173,39.1,0.04,22.21,0.21,21.29,0.58,10.13,5.67,Garnet
Sample1_pt174,39.13,0.04,22.1,0.21,20.81,0.52,10.02,5.59,Garnet
Sample1_pt175,39.11,0.02,22.44,0.22,21.43,0.52,10.34,5.47,Garnet
Sample1_pt176,39.25,0.07,22.39,0.28,21.66,0.59,10.09,5.63,Garnet
Sample1_pt177,38.87,0.06,21.91,0.15,21.1,0.59,10.11,5.71,Garnet
Sample1_pt178,38.15,0,21.35,0.18,21.4,0.54,9.74,5.61,Garnet
Sample1_pt179,39.94,0.08,22.66,0.25,21.13,0.58,10.3,5.79,Garnet
Sample1_pt180,39.62,0.03,21.94,0.19,21.26,0.52,10.07,5.51,Garnet
Sample1_pt181,39.56,0,22.35,0.09,21.26,0.61,10.27,5.73,Garnet
Sample1_pt182,40.17,0.02,22.38,0.19,21.37,0.56,10.08,5.59,Garnet
Sample1_pt183,40.18,0,22.65,0.27,21.14,0.56,10.68,5.69,Garnet
Sample1_pt184,39.43,0.04,22.45,0.19,20.97,0.52,10.14,5.81,Garnet
Sample1_pt185,39.54,0.01,22.01,0.28,21.19,0.51,10.2,5.68,Garnet
Sample1_pt186,39.69,0.06,22.16,0.27,21.1,0.57,10.26,5.68,Garnet
Sample1_pt187,39.46,0,22.25,0.24,21.1,0.54,10.02,5.72,Garnet
Sample1_pt188,38.99,0.02,22.56,0.17,21.04,0.45,10.14,5.71,Garnet
Sample1_pt189,39.56,0.03,22.27,0.2,21.16,0.48,10.17,5.68,Garnet
Sample1_pt190,39.38,0.02,22.48,0.18,21.13,0.58,10.2,5.81,Garnet
Sample1_pt191,39.68,0.03,22.36,0.21,21.24,0.58,9.84,5.72,Garnet
Sample1_pt192,39.55,0,22.57,0.21,21.31,0.6,10.04,5.71,Garnet
Sample1_pt193,39.27,0.04,22.52,0.19,21.08,0.54,10.23,5.79,Garnet
Sample1_pt194,39.77,0.03,22.33,0.16,21.36,0.52,10.19,5.73,Garnet
Sample1_pt195,39.32,0.02,22.24,0.25,20.75,0.59,10.09,5.84,Garnet
Sample1_pt196,39.56,0.03,22.52,0.22,21.18,0.56,9.97,5.75,Garnet
Sample1_pt197,39.54,0.02,22.16,0.25,21.09,0.53,10.06,5.67,Garnet
Sample1_pt198,39.84,0.03,22.11,0.17,21.51,0.54,9.97,5.64,Garnet
Sample1_pt199,39.49,0.01,22.28,0.23,21.4,0.64,10.01,5.77,Garnet
Sample1_pt200,39.04,0.06,22.18,0.22,21.33,0.64,9.84,5.61,Garnet
Sample1_pt201,39.21,0,22.15,0.21,21.08,0.46,9.98,5.81,Garnet
Sample1_pt202,39.22,0.06,22.34,0.19,21.37,0.55,10,5.84,Garnet
Sample1_pt203,39.12,0.01,22.39,0.27,21.47,0.58,9.93,6,Garnet
Sample1_pt204,39.26,0.05,22.19,0.19,21.29,0.47,9.9,5.81,Garnet
Sample1_pt205,39.02,0.02,22.12,0.21,21.71,0.56,10,5.75,Garnet
Sample1_pt206,39.41,0,22.15,0.22,21.44,0.64,9.9,5.69,Garnet
Sample1_pt207,38.89,0.04,22.07,0.21,21.36,0.58,9.88,5.86,Garnet
Sample1_pt208,39.06,0.01,22.11,0.25,21.45,0.5,9.81,5.78,Garnet
Sample1_pt209,39.69,0.05,21.99,0.19,21.57,0.47,9.91,5.89,Garnet
Sample1_pt210,39.04,0,22.27,0.18,21.77,0.54,9.92,5.82,Garnet
Sample1_pt211,38.88,0.33,22.12,0.14,21.73,0.53,9.7,5.86,Garnet
Sample1_pt212,38.27,0.03,21.51,0,23.89,0.52,7.01,7.18,Garnet
Sample1_pt213,38.49,0,21.72,0.02,23.66,0.63,7.06,7.29,Garnet
Sample1_pt214,38.49,0.05,21.98,0.05,24.15,0.62,7.09,7.25,Garnet
Sample1_pt215,38.23,0.08,21.68,0,24.28,0.57,7.05,7.2,Garnet
Sample1_pt216,38.46,0.03,21.57,0.06,24.09,0.58,7.17,7.12,Garnet
Sample1_pt217,38.58,0.06,21.6,0,23.91,0.54,7.14,7.3,Garnet
Sample1_pt218,38.55,0.08,21.69,0.02,23.89,0.65,7.32,7.04,Garnet
Sample1_pt219,38.37,0.03,21.47,0.05,23.79,0.6,7.19,7.3,Garnet
Sample1_pt220,38.44,0.06,21.69,0.05,23.57,0.54,7.05,7.38,Garnet
Sample1_pt221,38.14,0.02,21.71,0.04,23.75,0.57,7.1,7.24,Garnet
Sample1_pt222,38.4,0.06,21.89,0.02,23.49,0.59,7.14,7.27,Garnet
Sample1_pt223,38.28,0.03,21.71,0.04,23.91,0.57,7.46,7.09,Garnet
Sample1_pt224,38.35,0.03,21.4,0.05,24.01,0.57,7.16,7.02,Garnet
Sample1_pt225,38.68,0.02,21.33,0.03,23.56,0.55,7.17,7.27,Garnet
Sample1_pt226,38.44,0.05,21.85,0.02,24.12,0.59,7.09,7.22,Garnet
Sample1_pt227,38.36,0.07,21.65,0.07,23.88,0.63,7.24,7.27,Garnet
Sample1_pt228,38.21,0,21.76,0.1,23.43,0.6,7.17,7.24,Garnet
Sample1_pt229,37.98,0.04,21.32,0.01,23.6,0.57,7.42,7.31,Garnet
Sample1_pt230,38.82,0,21.71,0.02,23.47,0.58,7.21,7.33,Garnet
Sample1_pt231,38.43,0.02,21.49,0.02,23.64,0.66,7.15,7.56,Garnet
Sample1_pt232,38.57,0.07,21.65,0.03,23.48,0.59,7.25,7.4,Garnet
Sample1_pt233,38.1,0.07,21.38,0.02,23.74,0.64,7.05,7.31,Garnet
Sample1_pt234,38.22,0.04,21.64,0.01,23.81,0.6,6.86,7.26,Garnet
Sample1_pt235,38.33,0.08,21.37,0,23.6,0.61,7.04,7.2,Garnet
Sample1_pt236,38.61,0.04,21.66,0.02,23.7,0.62,7.24,7.28,Garnet
Sample1_pt237,38.84,0.04,21.64,0,23.27,0.55,7.4,7.39,Garnet
Sample1_pt238,38.61,0.06,21.95,0.01,23.5,0.58,7.22,7.13,Garnet
Sample1_pt239,38.28,0.02,21.46,0.04,23.07,0.6,7.28,7.25,Garnet
Sample1_pt240,38.08,0.07,21.73,0.07,23.24,0.54,7.03,7.73,Garnet
Sample1_pt241,38.75,0.01,21.43,0.02,23,0.56,7.19,7.38,Garnet
Sample1_pt242,38.22,0.13,21.68,0.03,23.02,0.64,7.23,7.51,Garnet
Sample1_pt243,38.76,0.11,21.48,0.07,23.22,0.52,7.31,7.6,Garnet
Sample1_pt244,38.33,0.13,21.57,0.03,23.35,0.57,7.07,7.6,Garnet
Sample1_pt245,38.61,0.04,21.82,0,23.21,0.6,7.31,7.82,Garnet
Sample1_pt246,38.16,0.18,21.86,0.02,22.86,0.56,7.26,7.45,Garnet
Sample1_pt247,38.85,0.08,21.44,0.05,22.84,0.51,7.37,7.5,Garnet
Sample1_pt248,39.05,0.08,21.67,0.06,22.78,0.52,7.15,7.67,Garnet
Sample1_pt249,38.56,0.06,21.61,0,23.18,0.56,7.24,7.79,Garnet
Sample1_pt250,38.74,0.14,21.41,0.04,23.18,0.57,7.17,7.52,Garnet
Sample1_pt251,38.49,0.04,21.56,0,22.83,0.64,7.37,7.87,Garnet
Sample1_pt252,38.59,0.06,21.71,0.03,22.96,0.62,7.21,7.78,Garnet
Sample1_pt253,38.62,0.1,21.45,0.04,23.2,0.56,7.23,8.08,Garnet
Sample1_pt254,38.61,0.05,21.68,0.05,23.09,0.62,7.21,8.01,Garnet
Sample1_pt255,39.02,0.04,21.58,0.06,22.98,0.56,7.19,7.88,Garnet
Sample1_pt256,38.75,0.03,21.55,0,23.02,0.59,7.23,8.12,Garnet
Sample1_pt257,38.41,0.03,21.36,0,22.95,0.58,6.97,7.75,Garnet
Sample1_pt258,38.62,0.11,21.41,0.06,22.82,0.59,7.1,7.9,Garnet
Sample1_pt259,38.74,0.11,21.64,0.01,22.98,0.55,7.12,8.26,Garnet
Sample1_pt260,38.55,0.1,22.33,0.02,23.06,0.63,7.14,7.86,Garnet
Sample1_pt261,38.94,0.07,21.46,0.03,22.66,0.62,7.1,8.1,Garnet
Sample1_pt262,38.68,0.05,21.56,0,23.33,0.54,7.09,7.94,Garnet
Sample1_pt263,38.97,0.05,21.68,0,22.93,0.61,7.19,7.97,Garnet
Sample1_pt264,38.96,0.02,21.59,0.03,22.96,0.6,7.2,8.07,Garnet
Sample1_pt265,38.64,0.08,21.75,0.01,22.53,0.63,7.15,8.07,Garnet
Sample1_pt266,38.99,0.05,21.75,0,22.64,0.58,6.87,8.21,Garnet
Sample1_pt267,39.2,0.09,21.5,0.02,23.14,0.65,6.88,7.94,Garnet
Sample1_pt268,38.99,0.1,21.45,0.09,22.69,0.58,7.03,8.02,Garnet
Sample1_pt269,38.99,0.15,21.54,0.06,22.62,0.55,6.82,8.06,Garnet
Sample1_pt270,38.99,0.18,21.74,0.03,23.19,0.59,7.11,8.13,Garnet
Sample1_pt271,38.75,0.09,21.54,0.07,23.08,0.65,6.9,8.24,Garnet
Sample1_pt272,38.45,0.23,21.52,0.03,23.38,0.62,6.78,8.09,Garnet
Sample1_pt273,38.81,0.07,21.54,0.01,23.49,0.68,6.78,8.05,Garnet
Sample1_pt274,38.68,0.04,21.5,0.05,23.97,0.64,6.86,7.53,Garnet
Sample1_pt275,39.29,0.08,21.66,0.07,23.62,0.6,7.14,7.71,Garnet
Sample1_pt276,38.43,0.12,21.58,0.04,23.3,0.56,6.72,7.9,Garnet
Sample1_pt277,38.36,0.08,21.12,0,23.29,0.63,6.57,8.11,Garnet
Sample1_pt278,39.46,0.05,21.87,0.07,23.03,0.62,6.61,8.53,Garnet
Sample1_pt279,39.39,0.09,21.64,0.02,23.21,0.55,6.8,8.2,Garnet
Sample1_pt280,38.75,0.12,21.61,0.04,23.7,0.58,6.79,8.01,Garnet
Sample1_pt281,38.71,0.09,21.71,0.04,23.61,0.61,6.9,7.93,Garnet
Sample1_pt282,38.26,0.05,21.11,0.07,23.75,0.58,6.85,7.71,Garnet
Sample1_pt283,38.64,0.14,21.67,0.05,23.47,0.66,6.8,7.77,Garnet
Sample1_pt284,39.01,0.16,21.58,0,23.55,0.61,6.8,7.83,Garnet
Sample1_pt285,39.17,0.12,21.62,0.01,23.71,0.58,6.81,7.61,Garnet
Sample1_pt286,38.97,0.18,21.5,0.04,23.69,0.58,7.04,7.67,Garnet
Sample1_pt287,38.74,0.13,21.86,0.04,23.91,0.67,6.85,7.51,Garnet
Sample1_pt288,38.98,0.2,21.23,0.05,23.66,0.62,6.78,7.59,Garnet
Sample1_pt289,38.94,0.12,21.58,0.06,24.05,0.61,6.76,7.43,Garnet
Sample1_pt290,38.68,0.09,21.44,0.03,23.97,0.57,6.82,7.35,Garnet
Sample1_pt291,38.75,0.13,21.64,0,24.02,0.65,6.68,7.56,Garnet
Sample1_pt292,39.06,0.14,21.55,0.05,24.16,0.57,6.8,7.55,Garnet
Sample1_pt293,38.97,0.14,21.76,0.04,24.44,0.6,6.65,7.29,Garnet
Sample1_pt294,38.89,0.2,21.6,0.05,24.39,0.58,6.51,7.23,Garnet
Sample1_pt295,38.58,0.06,21.82,0.03,24.74,0.53,6.69,7.38,Garnet
Sample1_pt296,38.16,0.06,21.35,0.03,28.78,1.24,3.55,6.76,Garnet
Sample1_pt297,37.97,0.07,21.38,0.03,29.01,1.33,3.46,6.84,Garnet
Sample1_pt298,37.99,0.03,21.33,0.06,28.96,1.28,3.61,6.84,Garnet
Sample1_pt299,38.32,0.07,21.29,0.01,28.78,1.3,3.47,6.79,Garnet
Sample1_pt300,38.2,0.03,21.37,0.04,29.08,1.31,3.48,6.78,Garnet
Sample1_pt301,37.78,0.1,21.36,0.01,29.04,1.69,3.13,6.96,Garnet
Sample1_pt302,38,0.05,21.46,0.1,29.09,1.69,3.17,6.71,Garnet
Sample1_pt303,37.79,0.07,21.04,0,29.12,1.66,3.17,6.62,Garnet
